time	V(vgate)	V(n005)	I(D1)
6.461379644630508e-006	3.269446e+000	3.300000e+000	4.013527e-001
6.471145269630507e-006	3.272594e+000	3.300000e+000	4.021367e-001
6.480910894630507e-006	3.275417e+000	3.300000e+000	4.028583e-001
6.490676519630506e-006	3.277950e+000	3.300000e+000	4.035223e-001
6.500442144630506e-006	3.280222e+000	3.300000e+000	4.041333e-001
6.510207769630506e-006	3.282260e+000	3.300000e+000	4.046957e-001
6.519973394630505e-006	3.284088e+000	3.300000e+000	4.052132e-001
6.529739019630505e-006	3.285728e+000	3.300000e+000	4.056895e-001
6.539504644630504e-006	3.287199e+000	3.300000e+000	4.061278e-001
6.549270269630504e-006	3.288518e+000	3.300000e+000	4.065312e-001
6.559035894630504e-006	3.289702e+000	3.300000e+000	4.069025e-001
6.568801519630503e-006	3.290764e+000	3.300000e+000	4.072442e-001
6.578567144630503e-006	3.291716e+000	3.300000e+000	4.075586e-001
6.588332769630502e-006	3.292570e+000	3.300000e+000	4.078481e-001
6.598098394630502e-006	3.293337e+000	3.300000e+000	4.081144e-001
6.607864019630502e-006	3.294024e+000	3.300000e+000	4.083595e-001
6.617629644630501e-006	3.294640e+000	3.300000e+000	4.085852e-001
6.627395269630501e-006	3.295193e+000	3.300000e+000	4.087928e-001
6.637160894630500e-006	3.295689e+000	3.300000e+000	4.089839e-001
6.646926519630500e-006	3.296134e+000	3.300000e+000	4.091598e-001
6.656692144630500e-006	3.296533e+000	3.300000e+000	4.093217e-001
6.666457769630499e-006	3.296891e+000	3.300000e+000	4.094706e-001
6.676223394630499e-006	3.297212e+000	3.300000e+000	4.096078e-001
6.685989019630498e-006	3.297500e+000	3.300000e+000	4.097340e-001
6.695754644630498e-006	3.297758e+000	3.300000e+000	4.098501e-001
6.705520269630498e-006	3.297989e+000	3.300000e+000	4.099570e-001
6.715285894630497e-006	3.298197e+000	3.300000e+000	4.100554e-001
6.725051519630497e-006	3.298383e+000	3.300000e+000	4.101459e-001
6.734817144630496e-006	3.298550e+000	3.300000e+000	4.102293e-001
6.744582769630496e-006	3.298700e+000	3.300000e+000	4.103060e-001
6.754348394630496e-006	3.298834e+000	3.300000e+000	4.103765e-001
6.764114019630495e-006	3.298955e+000	3.300000e+000	4.104415e-001
